date,river_max_c,air_max_c,offset_c,month,year
2013-02-21,8.11999988555908,7.9,0.2199998855590799,2,2013
2013-02-22,7.64499998092651,5.9,1.7449999809265098,2,2013
2013-02-23,6.88899993896484,3.4,3.4889999389648403,2,2013
2013-02-24,6.30600023269653,4.2,2.1060002326965295,2,2013
2013-02-25,6.71199989318848,6.8,-0.08800010681151971,2,2013
2013-02-26,6.66099977493286,9.5,-2.8390002250671396,2,2013
2013-02-27,7.61899995803833,11.1,-3.4810000419616696,2,2013
2013-02-28,7.96999979019165,12.4,-4.43000020980835,2,2013
2013-03-01,7.49399995803833,11.3,-3.8060000419616706,3,2013
2013-03-02,7.64499998092651,12.6,-4.9550000190734895,3,2013
2013-03-03,7.96999979019165,15.5,-7.53000020980835,3,2013
2013-03-04,8.66800022125244,15.9,-7.231999778747561,3,2013
2013-03-05,9.01500034332275,13.8,-4.78499965667725,3,2013
2013-03-06,9.60799980163574,11.8,-2.1920001983642603,3,2013
2013-03-07,10.1239995956421,15.0,-4.8760004043578995,3,2013
2013-03-08,10.5410003662109,16.8,-6.2589996337891005,3,2013
2013-03-09,10.2959995269775,15.7,-5.404000473022499,3,2013
2013-03-10,10.7119998931885,15.5,-4.7880001068115,3,2013
2013-03-11,11.3940000534058,16.3,-4.9059999465942,3,2013
2013-03-12,10.8100004196167,14.6,-3.7899995803833004,3,2013
2013-03-13,10.7360000610352,8.4,2.3360000610352003,3,2013
2013-03-14,9.97700023651123,7.0,2.9770002365112305,3,2013
2013-03-15,9.60799980163574,7.1,2.5079998016357408,3,2013
2013-03-16,9.1879997253418,11.6,-2.412000274658199,3,2013
2013-03-17,9.48499965667725,7.8,1.6849996566772498,3,2013
2013-03-18,9.26200008392334,12.0,-2.73799991607666,3,2013
2013-03-19,9.55799961090088,12.3,-2.74200038909912,3,2013
2013-03-20,10.2220001220703,14.9,-4.6779998779297,3,2013
2013-03-21,10.956000328064,15.3,-4.343999671936,3,2013
2013-03-22,10.3690004348755,16.4,-6.030999565124498,3,2013
2013-03-23,10.1979999542236,15.8,-5.6020000457764,3,2013
2013-03-24,10.1000003814697,11.8,-1.6999996185303008,3,2013
